abcdefghijklmnopqrstuvwxyz
ABCDEFGHIJKLMNOPQRSTUVWXYZ%

CHT	CHS
"%N%實現飄移的方法有多種：

- 在轉彎時按下 <DRIFT_KEY>；

- 在進入彎道時快速按下 <TURN_LEFT> 或 <TURN_RIGHT>。"	"%N%实现飘移的方法有多种：

- 在转弯时按下 <DRIFT_KEY>；

- 在进入弯道时快速按下 <TURN_LEFT> 或 <TURN_RIGHT>。"
飄移將為你賺取更多氮氣助力！	飘移将为你赚取更多氮气助力！
%%非法動作	%%非法动作
"按街頭規則遊戲！ 
表演非法動作，以獲得現金、
助力和電視直播！"	"按街头规则游戏！ 
表演非法动作，以获得现金、
助力和电视直播！ "
非法動作還會讓警員立即聞風而來！	非法动作还会让警察立即闻风而来！
警員的數量取決於「通緝」級別。	警察的数量取决于“通缉”级别。
%%氮氣	%%氮气
氮氣表指示可用助力數。	氮气表指示可用助力数。
撞向對手以將它們撞出馬路！	撞向对手以将它们撞出马路！
"表演非法動作，以便上電視直播！
聲望就是金錢！"	"表演非法动作，以便上电视直播！
声望等于金钱！"
%%賽事：賽車	%%赛事：赛车
"按街頭規則賽車！率先完成比賽，
以盡可能多地贏得現金！至少位
居第 3 名，否則將輸掉比賽！"	"按街头规则赛车！ 率先完成比赛，
以尽可能多地赢得现金！ 至少位
居第 3 名，否则将输掉比赛！"
*賽事：橫掃群雄	*赛事：横扫群雄
"讓他們知道誰是王中王！
摧毀盡可能多的敵人車輛！
你還可以將警員逐出道路！"	"让他们知道谁是王中王！
摧毁尽可能多的敌人车辆！
你还可以将警察逐出道路！"
%%賽事：警車追逐	%%赛事：警车追逐
	
"轉變立場，看看站在法律一邊，
是什麼感覺！趕上領先者，
將他碾個粉碎！
避開其他車輛，否則你就要輸錢。"	"转变立场，看看站在法律一边，
是什么感觉！赶上领先者，
将他碾个粉碎！
避开其它车辆，否则你就要输钱。"
*賽事：對決	*赛事：对决
"一對一賽車，趕上對手 
並超過他！ ！不必說，
你必須率先到達終點！"	"一对一赛车，赶上对手 
并超过他！ ！不必说，
你必须率先到达终点！"
%%賽事：搶金奪銀	%%赛事：抢金夺银
"使出渾身解數，盡可能多地 
賺錢： 撞車、跳躍
或者在街上使用氮氣！ 
第一名將獲得 30,000 分；
在遊戲中倖存獲得 20,000 分！"	"使出浑身解数，尽可能多地 
赚钱： 撞车、跳跃，
或者在街上使用氮气！
第一名将获得 30,000 分；
在游戏中幸存获得 20,000 分！"
%N	%N
%%都市賽車：精英競速™ 4	%%都市赛车：精英竞速™ 4
%N	%N
%%資訊和支援：	%%信息和支持：
WWW.GAMELOFT.COM	WWW.GAMELOFT.COM
SUPPORT@GAMELOFT.COM	SUPPORT@GAMELOFT.COM
%N	%N
%N	%N
© 2008 GAMELOFT	© 2008 GAMELOFT
保留所有權利	保留所有权利
都市賽車：精英競速™ 4	都市赛车：精英竞速™ 4
是 GAMELOFT 在美國	是 GAMELOFT 在美国
和/或其它國家/地區的商標。	和/或其它国家/地区的商标。
%N	%N
%N	%N
%N	%N
版本號：	版本号：
%V	%V
%N	%N
%%字幕	%%字幕
%N	%N
%%執行製作人	%%执行制作人
JEAN-NICOLAS VERNIN	JEAN-NICOLAS VERNIN
%N	%N
%%製作人	%%制作人
RADU NECULA	RADU NECULA
ADRIAN GEORGESCU	ADRIAN GEORGESCU
%N	%N
%%創作總監	%%创作总监
STANISLAS DEWAVRIN	STANISLAS DEWAVRIN
%N	%N
%%遊戲設計	%%游戏设计
ADRIAN SORIN ANDREI	ADRIAN SORIN ANDREI
%N	%N
%%主程式	%%主编程
RALUCA AXON	RALUCA AXON
%N	%N
%%編程	%%编程
MARIAN ANGHEL	MARIAN ANGHEL
SILVIU NITA	SILVIU NITA
ADRIAN DEMETRESCU	ADRIAN DEMETRESCU
RADU OVIDENIE	RADU OVIDENIE
%N	%N
%%3D 導演	%%3D 导演
CHRISTOPHE LATOUR	CHRISTOPHE LATOUR
%N	%N
%%主 3D 美工	%%主 3D 美工
ANDREI ICHIM	ANDREI ICHIM
%N	%N
%%3D 美工	%%3D 美工
VLADIMIR TENESLAV	VLADIMIR TENESLAV
%N	%N
%%主 2D 美工	%%主 2D 美工
LAURENTIU FRANCISC PAROTA	LAURENTIU FRANCISC PAROTA
%N	%N
%%2D 美工	%%2D 美工
EMILIAN OCTAVIAN ENACHE	EMILIAN OCTAVIAN ENACHE
MIHAI ANGELO STET	MIHAI ANGELO STET
%N	%N
%%音效設計	%%音效设计
MARC-LEONCE VOLCY	MARC-LEONCE VOLCY
DIEGO ZALDIVAR	DIEGO ZALDIVAR
%N	%N
%%作曲	%%作曲
MATHIEU VACHON	MATHIEU VACHON 
%N	%N
%%品保經理	%%质保经理
王    鹏	王    鹏
EMANUEL PARGOV	EMANUEL PARGOV
%N	%N
%%PROJECT MANAGER	%%PROJECT MANAGER
王晓枫	王晓枫
%N	%N
%%品保主管	%%质保主管
夏    龑	夏    龑
%N	%N
%%品保團隊	%%质保团队
张    凯	张    凯
张子承	张子承
邵秉明	邵秉明
翟    健	翟    健
李浩然	李浩然
刘光辉	刘光辉
李    凯	李    凯
刘    硕	刘    硕
KIRIL KOLEV	KIRIL KOLEV
STEFAN ANTIMOV	STEFAN ANTIMOV
PETAR KERKELOV	PETAR KERKELOV
%N	%N
%%製作室創作經理	%%制作室创作经理
BOGDAN LUCACI	BOGDAN LUCACI
%N	%N
%%製作室主 2D 美工	%%制作室主 2D 美工
ISTVAN KOVACS	ISTVAN KOVACS
%N	%N
%%製作室主 3D 美工	%%制作室主 3D 美工
AUREL MANEA	AUREL MANEA
%N	%N
%%製作室技術總監	%%制作室技术总监
DRAGOS IFTIMI	DRAGOS IFTIMI
%N	%N
%%在地化經理	%%本地化经理
ALEXIS GREEN-PAINCHAUD	ALEXIS GREEN-PAINCHAUD
%N	%N
%%在地化團隊	%%本地化团队
%N	%N
%%特別鳴謝	%%特别感谢
VICTOR VERNIN	VICTOR VERNIN
DAMIAN MARINOV DAMIANOV	DAMIAN MARINOV DAMIANOV
%N	%N
%N	%N
%N	%N
"所有製造商、
汽車、摩托車、
名稱、品牌和
本遊戲描繪的
關聯影像，是
其各自所有者
的商標和/或著
作權保護材料。"	"所有制造商、
汽车、摩托车、
名称、品牌和
本游戏描绘的
关联影像，是
其各自所有者
的商标和/或版
权保护材料。"
%N	%N
%N	%N
%L	%L
%N	%N
PRODUCED UNDER LICENSE OF FERRARI SPA. FERRARI, THE PRANCING HORSE DEVICE, ALL ASSOCIATED LOGOS AND DISTINCTIVE DESIGNS ARE PROPERTY OF FERRARI SPA. THE BODY DESIGNS OF THE FERRARI CARS ARE PROTECTED AS FERRARI PROPERTY UNDER DESIGN, TRADEMARK AND TRADE DRESS REGULATIONS.	PRODUCED UNDER LICENSE OF FERRARI SPA. FERRARI, THE PRANCING HORSE DEVICE, ALL ASSOCIATED LOGOS AND DISTINCTIVE DESIGNS ARE PROPERTY OF FERRARI SPA. THE BODY DESIGNS OF THE FERRARI CARS ARE PROTECTED AS FERRARI PROPERTY UNDER DESIGN, TRADEMARK AND TRADE DRESS REGULATIONS.
%N	%N
%N	%N
%N	%N
TRADEMARKS, DESIGN PATENTS AND COPYRIGHTS ARE USED WITH THE APPROVAL OF THE OWNER AND/OR EXCLUSIVE LICENSEE BUGATTI INTERNATIONAL S.A.	TRADEMARKS, DESIGN PATENTS AND COPYRIGHTS ARE USED WITH THE APPROVAL OF THE OWNER AND/OR EXCLUSIVE LICENSEE BUGATTI INTERNATIONAL S.A.
%N	%N
%N	%N
%N	%N
THE TRADEMARKS, COPYRIGHTS AND DESIGN RIGHTS IN AND ASSOCIATED WITH RUF RGT ARE USED UNDER LICENCE FROM RUF VERTRIEBS GMBH.	THE TRADEMARKS, COPYRIGHTS AND DESIGN RIGHTS IN AND ASSOCIATED WITH RUF RGT ARE USED UNDER LICENCE FROM RUF VERTRIEBS GMBH.
%N	%N
%N	%N
%N	%N
THE TRADEMARKS, COPYRIGHTS AND DESIGN RIGHTS IN AND ASSOCIATED WITH CORVETTE ZR-1, CHEVROLET "BOWTIE" EMBLEMS, ARE TRADEMARKS OF GENERAL MOTORS CO. USED UNDER LICENSE TO GAMELOFT.	THE TRADEMARKS, COPYRIGHTS AND DESIGN RIGHTS IN AND ASSOCIATED WITH CORVETTE ZR-1, CHEVROLET "BOWTIE" EMBLEMS, ARE TRADEMARKS OF GENERAL MOTORS CO. USED UNDER LICENSE TO GAMELOFT.
%N	%N
%N	%N
%N	%N
’NISSAN’ AND THE NAMES, LOGOS, MARKS AND DESIGNS OF THE NISSAN PRODUCTS ARE TRADEMARKS AND/OR INTELLECTUAL PROPERTY RIGHTS OF NISSAN MOTOR CO., LTD.	’NISSAN’ AND THE NAMES, LOGOS, MARKS AND DESIGNS OF THE NISSAN PRODUCTS ARE TRADEMARKS AND/OR INTELLECTUAL PROPERTY RIGHTS OF NISSAN MOTOR CO., LTD.
%N	%N
%N	%N
%N	%N
THE MINI TRADEMARKS ARE USED UNDER LICENCE FROM BMW AG.	THE MINI TRADEMARKS ARE USED UNDER LICENCE FROM BMW AG.
%N	%N
%N	%N
%N	%N
ASTON MARTIN AND THE ASTON MARTIN LOGO ARE TRADEMARKS OWNED AND LICENSED BY ASTON MARTIN LAGONDA © 2006 ASTON MARTIN LAGONDA.	ASTON MARTIN AND THE ASTON MARTIN LOGO ARE TRADEMARKS OWNED AND LICENSED BY ASTON MARTIN LAGONDA © 2006 ASTON MARTIN LAGONDA.
%N	%N
%N	%N
%N	%N
DUCATI MOTOR HOLDING S.P.A OFFICIAL LICENSED PRODUCT.	DUCATI MOTOR HOLDING S.P.A OFFICIAL LICENSED PRODUCT.
%N	%N
%N	%N
%N	%N
THE BMW TRADEMARKS ARE USED UNDER LICENSE FROM BMW AG	THE BMW TRADEMARKS ARE USED UNDER LICENSE FROM BMW AG
%N	%N
%N	%N
%N	%N
"本手機遊戲中複製的
車輛外觀或設計可能
因移動設備的規格而
不同於此等車輛的原
版設計。"	"本手机游戏中复制的
车辆外观或设计可能
因移动设备的规格而
不同于此等车辆的原
版设计。"
